iter	Logloss
0	0.60181098
1	0.5117834067
2	0.4550706654
3	0.4109973566
4	0.3586387929
5	0.3283910571
6	0.3068413184
7	0.2872780209
8	0.2702377298
9	0.2568037576
10	0.2460249172
11	0.2371699363
12	0.2227433147
13	0.2113300508
14	0.2019339744
15	0.196902801
16	0.1919290084
17	0.1882537176
18	0.1816900149
19	0.1781039494
20	0.1737660213
21	0.1703702008
22	0.1682454253
23	0.165458941
24	0.1627964465
25	0.1609920599
26	0.1566221593
27	0.1543401668
28	0.1530955773
29	0.1511832256
30	0.1499584827
31	0.1476613534
32	0.1463309716
33	0.1445326502
34	0.1433024616
35	0.1420346605
36	0.1411671134
37	0.1401498959
38	0.138732592
39	0.137903681
40	0.1355503053
41	0.1347922203
42	0.1339063913
43	0.1331960955
44	0.1325333906
45	0.1320485255
46	0.1312922327
47	0.1308536178
48	0.1304498219
49	0.1290857082
50	0.1285642038
51	0.1279383098
52	0.1266797329
53	0.1261624096
54	0.1254416189
55	0.1247782608
56	0.1244019703
57	0.1235971758
58	0.1232183803
59	0.1226451598
60	0.1222693438
61	0.1214250663
62	0.1208996557
63	0.1203191471
64	0.1198558399
65	0.1187525271
66	0.1178551448
67	0.1174840802
68	0.1170950709
69	0.1166890561
70	0.1162726894
71	0.1159284751
72	0.1156946112
73	0.1150785189
74	0.11406607
75	0.1137006529
76	0.1134801011
77	0.113241139
78	0.1129781067
79	0.1126668167
80	0.1119818612
81	0.1117390484
82	0.111014803
83	0.1106550471
84	0.1100393306
85	0.1095123719
86	0.109049297
87	0.1084336964
88	0.1083153438
89	0.107321712
90	0.1069624907
91	0.1062430482
92	0.1059953583
93	0.1055427839
94	0.1050253921
95	0.1048589666
96	0.1045247511
97	0.1043211335
98	0.104050381
99	0.1039424509
100	0.1036872874
101	0.1035503691
102	0.1034037457
103	0.1028908672
104	0.1026721054
105	0.1023061512
106	0.1022079495
107	0.1020913819
108	0.1013358792
109	0.1011089099
110	0.1008611454
111	0.100481676
112	0.100156036
113	0.09998546949
114	0.09988305298
115	0.09977448384
116	0.09895074713
117	0.09890073102
118	0.09873027989
119	0.09852586544
120	0.09846166747
121	0.09833580125
122	0.09817029661
123	0.09810886438
124	0.09782575944
125	0.09769237554
126	0.09756595684
127	0.0974624558
128	0.09725517906
129	0.09714167527
130	0.09698232825
131	0.0968341594
132	0.09664511564
133	0.09650663055
134	0.09617134465
135	0.09601664941
136	0.09590945588
137	0.09565855611
138	0.09530025926
139	0.09508153468
140	0.09494221991
141	0.09480934438
142	0.09462731882
143	0.09456696742
144	0.09443020715
145	0.09431064717
146	0.09419474337
147	0.09385838629
148	0.09373943781
149	0.09369200305
150	0.09336679397
151	0.09331427176
152	0.09314288621
153	0.09303803936
154	0.09259719621
155	0.09236839183
156	0.0922950681
157	0.09204183316
158	0.09178140276
159	0.09158096042
160	0.0915027302
161	0.09124146648
162	0.0910183213
163	0.09081797162
164	0.09063853039
165	0.09056978869
166	0.09047858037
167	0.09032916539
168	0.09012760111
169	0.08987922999
170	0.0896767582
171	0.08956542533
172	0.08952553936
173	0.08946792516
174	0.08931581102
175	0.08905404411
176	0.08891482469
177	0.08887449661
178	0.08881499745
179	0.08874015324
180	0.08850225437
181	0.08838210714
182	0.08819633161
183	0.08809734534
184	0.0880450043
185	0.08802646007
186	0.08796423999
187	0.08780279423
188	0.0877299847
189	0.08759523331
190	0.08749462331
191	0.08736716313
192	0.08728313449
193	0.08718273546
194	0.08713188205
195	0.08702918884
196	0.08680382015
197	0.08670952371
198	0.0866665754
199	0.08656148219
200	0.08650963233
201	0.08639141795
202	0.08627368215
203	0.08613571133
204	0.08608600362
205	0.08599752966
206	0.08584979423
207	0.08580026813
208	0.08573754348
209	0.08567431507
210	0.08557983024
211	0.08539770896
212	0.08526167557
213	0.08521852354
214	0.08514356979
215	0.08507267861
216	0.08497366019
217	0.08485005402
218	0.08478514341
219	0.08473647928
220	0.08470059396
221	0.08466101819
222	0.08460510603
223	0.08452156196
224	0.08442383128
225	0.08434696055
226	0.08427290306
227	0.0841792618
228	0.08410515349
229	0.08406288594
230	0.08402923472
231	0.08399457419
232	0.08389815755
233	0.08383003624
234	0.08378847737
235	0.08368858628
236	0.08360583241
237	0.08355197362
238	0.08349785538
239	0.08344610638
240	0.0833788773
241	0.08334414284
242	0.08325953225
243	0.08324239467
244	0.08321977411
245	0.08314747643
246	0.08303237939
247	0.08298212379
248	0.08291230741
249	0.08283497479
250	0.0826363804
251	0.08254650406
252	0.08250200744
253	0.08245301795
254	0.08240624178
255	0.08233179077
256	0.08217463248
257	0.0821292376
258	0.08207258497
259	0.08197578823
260	0.08190421681
261	0.0818585102
262	0.08180264255
263	0.08174593939
264	0.08168883758
265	0.08157642229
266	0.08151667169
267	0.08142952421
268	0.08141867261
269	0.08133573954
270	0.08131695129
271	0.08125757244
272	0.08123788331
273	0.08119402644
274	0.08117628215
275	0.08114848645
276	0.08111945399
277	0.08108540275
278	0.08101902039
279	0.08092528856
280	0.0807302343
281	0.08060024201
282	0.08053184285
283	0.08046151466
284	0.08037326549
285	0.08028841104
286	0.08018449354
287	0.08010113191
288	0.08004433876
289	0.07996840429
290	0.0799522536
291	0.07989854855
292	0.07980692091
293	0.07977323321
294	0.07972702556
295	0.07963963271
296	0.07961264369
297	0.07958704771
298	0.07950886808
299	0.07937941646
300	0.07930977469
301	0.07926490567
302	0.07924714211
303	0.07919143317
304	0.07916143991
305	0.07906712723
306	0.07901604676
307	0.07896455942
308	0.07891628544
309	0.07885627304
310	0.0787931384
311	0.07873875669
312	0.07867753801
313	0.0786078764
314	0.07856823033
315	0.07851018599
316	0.07847150067
317	0.07842663434
318	0.07841803925
319	0.07835539315
320	0.07827651711
321	0.07825217548
322	0.07821158411
323	0.07817091768
324	0.0781120434
325	0.07799637489
326	0.07794323936
327	0.07791489082
328	0.07786368643
329	0.0778242107
330	0.07769510519
331	0.07764706029
332	0.07761657668
333	0.07755687536
334	0.07752757033
335	0.07748285914
336	0.07745514345
337	0.0773978268
338	0.07733196782
339	0.07721968756
340	0.07712187503
341	0.0770044461
342	0.076961594
343	0.07693279344
344	0.0768688124
345	0.07680197576
346	0.07677112178
347	0.07674059345
348	0.07670398621
349	0.07664788618
350	0.07659872285
351	0.07657585475
352	0.07653430284
353	0.07645754346
354	0.076433539
355	0.07637015922
356	0.07630183036
357	0.07626445045
358	0.07622531791
359	0.07619112365
360	0.07614565836
361	0.0760859004
362	0.07602642821
363	0.0760094717
364	0.07597877669
365	0.07595243704
366	0.07591439313
367	0.07586059731
