iter	Passed	Remaining
399	39248	58872
400	39286	58684
401	39325	58499
402	39373	58326
403	39422	58157
404	39469	57985
405	39506	57799
406	39546	57619
407	39590	57445
408	39628	57263
409	39687	57111
410	39723	56927
411	39765	56752
412	39805	56575
413	39844	56397
414	39884	56222
415	39946	56079
416	39997	55920
417	40029	55735
418	40071	55563
419	40113	55394
420	40156	55226
421	40213	55078
422	40252	54907
423	40295	54740
424	40329	54563
425	40371	54397
426	40436	54261
427	40476	54095
428	40519	53931
429	40553	53756
430	40592	53589
431	40647	53443
432	40685	53276
433	40728	53115
434	40766	52949
435	40818	52802
436	40876	52662
437	40916	52500
438	40951	52331
439	41000	52181
440	41046	52029
441	41094	51880
442	41134	51719
443	41175	51561
444	41220	51409
445	41270	51264
446	41322	51121
447	41361	50963
448	41401	50807
449	41445	50655
450	41486	50501
451	41546	50370
452	41582	50210
453	41620	50054
454	41662	49903
455	41698	49744
456	41798	49664
457	41897	49582
458	41987	49488
459	42144	49474
460	42219	49363
461	42330	49294
462	42421	49201
463	42481	49073
464	42532	48935
465	42603	48820
466	42689	48722
467	42732	48575
468	42780	48435
469	42822	48288
470	42863	48142
471	42908	47999
472	42968	47874
473	43092	47820
474	43180	47725
475	43226	47585
476	43271	47444
477	43308	47294
478	43344	47145
479	43391	47007
480	43510	46948
481	43555	46808
482	43595	46664
483	43636	46521
484	43674	46376
485	43784	46307
486	43886	46229
487	44145	46316
488	44363	46359
489	44455	46270
490	44512	46144
491	44587	46037
492	44664	45933
493	44712	45798
494	44750	45654
495	44794	45517
496	44850	45391
497	44893	45253
498	44928	45108
499	44963	44963
500	45005	44825
501	45043	44684
502	45100	44562
503	45146	44429
504	45210	44314
505	45260	44187
506	45318	44067
507	45394	43964
508	45447	43840
509	45500	43716
510	45569	43607
511	45619	43481
512	45678	43363
513	45726	43235
514	45764	43099
515	45836	42994
516	45877	42860
517	45918	42727
518	45967	42601
519	46015	42476
520	46048	42336
521	46109	42222
522	46147	42088
523	46184	41954
524	46223	41821
525	46280	41705
526	46330	41583
527	46385	41465
528	46428	41337
529	46472	41211
530	46523	41091
531	46604	40998
532	46657	40880
533	46758	40803
534	47127	40961
535	47328	40970
536	47457	40917
537	47527	40813
538	47607	40717
539	47653	40594
540	47717	40485
541	47753	40352
542	47802	40231
543	47842	40102
544	47884	39977
545	47923	39848
546	47987	39740
547	48027	39613
548	48066	39486
549	48110	39363
550	48150	39236
551	48193	39113
552	48252	39003
553	48294	38879
554	48328	38750
555	48377	38632
556	48418	38509
557	48457	38383
558	48543	38296
559	48598	38184
560	48638	38060
561	48675	37935
562	48722	37818
563	48775	37705
564	48822	37589
565	48857	37463
566	48898	37342
567	48940	37222
568	48977	37098
569	49040	36995
570	49075	36871
571	49125	36757
572	49162	36636
573	49209	36521
574	49249	36401
575	49306	36294
576	49351	36179
577	49388	36058
578	49431	35942
579	49468	35822
580	49515	35709
581	49568	35600
582	49620	35491
583	49656	35371
584	49701	35258
585	49765	35158
586	49811	35046
587	49845	34925
588	49881	34806
589	49927	34695
590	49965	34578
591	50031	34481
592	50069	34364
593	50114	34253
594	50152	34137
595	50194	34024
596	50233	33909
597	50285	33804
598	50332	33695
599	50371	33580
600	50414	33470
601	50451	33354
602	50487	33239
603	50551	33143
604	50593	33032
605	50634	32920
606	50673	32808
607	50716	32699
608	50755	32586
609	50825	32494
610	50862	32382
611	50899	32269
612	50951	32166
613	51012	32069
614	51048	31957
615	51089	31848
616	51131	31739
617	51175	31632
618	51226	31530
619	51306	31446
620	51442	31395
621	51504	31300
622	51549	31194
623	51587	31085
624	51626	30975
625	51670	30870
626	51730	30774
627	51769	30666
628	51809	30558
629	51852	30453
630	51910	30356
631	51956	30253
632	51994	30145
633	52031	30037
634	52073	29932
635	52116	29827
636	52189	29740
637	52227	29633
638	52272	29530
639	52308	29423
640	52367	29329
641	52403	29221
642	52442	29116
643	52480	29010
644	52518	28905
645	52574	28810
646	52632	28715
647	52675	28613
648	52718	28511
649	52757	28407
650	52809	28311
651	52852	28209
652	52895	28108
653	52931	28003
654	52985	27908
655	53034	27810
656	53078	27710
657	53118	27608
658	53163	27509
659	53201	27406
660	53237	27303
661	53297	27212
662	53333	27109
663	53379	27011
664	53426	26914
665	53474	26817
666	53514	26717
667	53576	26627
668	53611	26525
669	53652	26426
670	53696	26327
671	53752	26236
672	53794	26137
673	53834	26038
674	53878	25941
675	53914	25840
676	53957	25743
677	54016	25653
678	54053	25554
679	54097	25457
680	54133	25357
681	54191	25267
682	54247	25177
683	54288	25080
684	54330	24984
685	54372	24887
686	54415	24792
687	54472	24702
688	54508	24603
689	54545	24505
690	54585	24409
691	54636	24317
692	54692	24228
693	54737	24135
694	54778	24039
695	54823	23945
696	54875	23855
697	54929	23765
698	54969	23670
699	55016	23578
700	55050	23481
701	55092	23386
702	55156	23302
703	55193	23206
704	55238	23113
705	55278	23019
706	55325	22928
707	55374	22838
708	55416	22745
709	55456	22651
710	55495	22557
711	55534	22463
712	55591	22376
713	55632	22284
714	55669	22190
715	55707	22096
716	55745	22002
717	55807	21918
718	55856	21829
719	55902	21739
720	55940	21646
721	55992	21559
722	56039	21470
723	56093	21383
724	56134	21292
725	56174	21200
726	56209	21107
727	56252	21017
728	56314	20934
729	56351	20842
730	56399	20754
731	56437	20662
732	56472	20570
733	56516	20481
734	56571	20396
735	56624	20310
736	56665	20221
737	56705	20131
738	56747	20042
739	56794	19954
740	56893	19885
741	56937	19797
742	56969	19705
743	57012	19617
744	57073	19535
745	57112	19445
746	57160	19359
747	57200	19270
748	57328	19211
749	57517	19172
750	57569	19087
751	57623	19003
752	57660	18913
753	57698	18824
754	57732	18734
755	57774	18646
756	57835	18565
757	57885	18480
758	57926	18393
759	57966	18305
760	58011	18218
761	58061	18134
762	58140	18059
763	58177	17970
764	58219	17884
765	58264	17798
766	58323	17717
767	58359	17629
768	58399	17542
769	58440	17456
770	58477	17368
771	58521	17283
772	58579	17202
773	58623	17117
774	58672	17033
775	58716	16949
776	58755	16862
777	58801	16778
778	58857	16697
779	58895	16611
780	58936	16526
781	58974	16440
782	59044	16363
783	59095	16281
784	59143	16198
785	59187	16114
786	59235	16031
787	59290	15951
788	59337	15868
789	59375	15783
790	59439	15705
791	59502	15626
792	59568	15549
793	59608	15465
794	59655	15382
795	59694	15298
796	59750	15218
797	59796	15136
798	59869	15060
799	59941	14985
800	59982	14901
801	60021	14818
802	60081	14739
803	60122	14656
804	60166	14574
805	60205	14491
806	60250	14409
807	60305	14330
808	60349	14248
809	60398	14167
810	60437	14084
811	60502	14008
812	60545	13926
813	60589	13844
814	60630	13762
815	60668	13680
816	60717	13600
817	60799	13527
818	60837	13445
819	60872	13362
820	60921	13282
821	60988	13206
822	61030	13125
823	61069	13044
824	61117	12964
825	61159	12883
826	61204	12803
827	61262	12726
828	61304	12645
829	61345	12564
830	61379	12482
831	61425	12403
832	61495	12328
833	61542	12249
834	61580	12168
835	61625	12089
836	61681	12011
837	61727	11933
838	61765	11852
839	61810	11773
840	61850	11693
841	61896	11614
842	61958	11539
843	61994	11458
844	62040	11380
845	62078	11300
846	62146	11226
847	62184	11146
848	62229	11067
849	62264	10987
850	62301	10908
851	62346	10830
852	62409	10755
853	62451	10676
854	62492	10598
855	62535	10519
856	62582	10442
857	62659	10370
858	62698	10291
859	62743	10214
860	62782	10135
861	62835	10059
862	62875	9981
863	62940	9907
864	62976	9828
865	63015	9750
866	63060	9673
867	63128	9600
868	63172	9523
869	63216	9446
870	63259	9369
871	63293	9290
872	63331	9213
873	63400	9140
874	63444	9063
875	63505	8989
876	63550	8913
877	63590	8836
878	63661	8763
879	63739	8691
880	63834	8622
881	63894	8548
882	63952	8473
883	63990	8397
884	64045	8322
885	64085	8245
886	64153	8172
887	64193	8096
888	64240	8021
889	64282	7945
890	64320	7868
891	64362	7792
892	64422	7719
893	64516	7649
894	64561	7574
895	64604	7498
896	64676	7426
897	64721	7351
898	64777	7277
899	64819	7202
900	64864	7127
901	64916	7052
902	64988	6981
903	65030	6905
904	65072	6830
905	65115	6755
906	65176	6682
907	65225	6608
908	65268	6534
909	65305	6458
910	65362	6385
911	65408	6311
912	65470	6238
913	65520	6164
914	65563	6090
915	65604	6016
916	65670	5944
917	65710	5869
918	65762	5796
919	65798	5721
920	65838	5647
921	65879	5573
922	65947	5501
923	65991	5427
924	66026	5353
925	66073	5280
926	66115	5206
927	66158	5132
928	66229	5061
929	66274	4988
930	66314	4914
931	66357	4841
932	66457	4772
933	66493	4698
934	66532	4625
935	66575	4552
936	66613	4478
937	66654	4405
938	66708	4333
939	66873	4268
940	67027	4202
941	67074	4129
942	67118	4056
943	67153	3983
944	67198	3910
945	67240	3838
946	67298	3766
947	67333	3693
948	67368	3620
949	67414	3548
950	67454	3475
951	67510	3403
952	67549	3331
953	67588	3258
954	67632	3186
955	67681	3115
956	67734	3043
957	67778	2971
958	67819	2899
959	67866	2827
960	67910	2755
961	67966	2684
962	68012	2613
963	68054	2541
964	68094	2469
965	68142	2398
966	68199	2327
967	68241	2255
968	68283	2184
969	68325	2113
970	68366	2041
971	68432	1971
972	68469	1899
973	68511	1828
974	68549	1757
975	68605	1687
976	68652	1616
977	68696	1545
978	68740	1474
979	68779	1403
980	68823	1332
981	68876	1262
982	68910	1191
983	68948	1121
984	68987	1050
985	69031	980
986	69091	910
987	69127	839
988	69164	769
989	69204	699
990	69253	628
991	69306	558
992	69350	488
993	69387	418
994	69430	348
995	69474	279
996	69537	209
997	69577	139
998	69623	69
999	69662	0
